elapsed_time,power,smooth_power
0 days 00:04:56,10.0,85.13333333333334
0 days 00:04:57,5.0,79.3
0 days 00:04:58,2.0,72.5
0 days 00:04:59,179.0,69.2
0 days 00:05:00,222.0,73.23333333333333
0 days 00:05:01,216.0,76.5
0 days 00:05:02,169.0,79.2
0 days 00:05:03,25.0,81.33333333333333
0 days 00:05:04,25.0,85.63333333333334
0 days 00:05:05,25.0,92.46666666666667
0 days 00:05:06,0.0,98.4
0 days 00:05:07,0.0,102.46666666666667
0 days 00:05:08,0.0,103.26666666666667
0 days 00:05:09,0.0,104.83333333333333
0 days 00:05:10,0.0,108.63333333333334
0 days 00:05:11,0.0,113.36666666666666
0 days 00:05:12,0.0,119.46666666666667
0 days 00:05:13,57.0,124.9
0 days 00:05:14,222.0,130.53333333333333
0 days 00:05:15,200.0,132.1
0 days 00:05:16,177.0,138.6
0 days 00:05:17,147.0,150.5
0 days 00:05:18,212.0,162.06666666666666
0 days 00:05:19,260.0,168.33333333333334
0 days 00:05:20,226.0,175.53333333333333
0 days 00:05:21,171.0,181.1
0 days 00:05:22,176.0,188.76666666666668
0 days 00:05:23,206.0,196.73333333333332
0 days 00:05:24,240.0,206.26666666666668
0 days 00:05:25,229.0,214.3
0 days 00:05:26,193.0,221.0
0 days 00:05:27,168.0,226.7
0 days 00:05:28,171.0,231.96666666666667
0 days 00:05:29,226.0,235.06666666666666
0 days 00:05:30,417.0,233.96666666666667
0 days 00:05:31,573.0,232.03333333333333
0 days 00:05:32,516.0,232.53333333333333
0 days 00:05:33,213.0,236.16666666666666
0 days 00:05:34,241.0,234.7
0 days 00:05:35,192.0,229.16666666666666
0 days 00:05:36,230.0,222.7
0 days 00:05:37,239.0,217.13333333333333
0 days 00:05:38,286.0,212.16666666666666
0 days 00:05:39,241.0,212.5
0 days 00:05:40,201.0,212.6
0 days 00:05:41,171.0,215.43333333333334
0 days 00:05:42,158.0,221.66666666666666
0 days 00:05:43,150.0,229.56666666666666
0 days 00:05:44,189.0,235.6
0 days 00:05:45,142.0,238.5
0 days 00:05:46,192.0,232.36666666666667
0 days 00:05:47,256.0,218.43333333333334
0 days 00:05:48,168.0,204.76666666666668
0 days 00:05:49,94.0,201.16666666666666
0 days 00:05:50,32.0,198.1
0 days 00:05:51,4.0,193.73333333333332
0 days 00:05:52,27.0,191.2
0 days 00:05:53,216.0,188.16666666666666
0 days 00:05:54,243.0,183.76666666666668
0 days 00:05:55,314.0,184.16666666666666
0 days 00:05:56,380.0,187.43333333333334
0 days 00:05:57,405.0,192.2
0 days 00:05:58,352.0,199.53333333333333
0 days 00:05:59,313.0,204.2
0 days 00:06:00,233.0,210.33333333333334
0 days 00:06:01,155.0,219.93333333333334
0 days 00:06:02,106.0,224.5
0 days 00:06:03,105.0,224.33333333333334
0 days 00:06:04,149.0,227.96666666666667
0 days 00:06:05,61.0,235.93333333333334
0 days 00:06:06,154.0,247.0
0 days 00:06:07,148.0,261.0
0 days 00:06:08,154.0,275.93333333333334
0 days 00:06:09,253.0,283.6
0 days 00:06:10,299.0,289.5
0 days 00:06:11,314.0,290.56666666666666
0 days 00:06:12,378.0,285.03333333333336
0 days 00:06:13,290.0,272.73333333333335
0 days 00:06:14,373.0,262.2
0 days 00:06:15,430.0,255.7
0 days 00:06:16,329.0,255.73333333333332
